"","SN_C1","SN_C2","SN_C3","SN_C4","SN_C5","SN_PD1","SN_PD2","SN_PD3","SN_PD4","SN_PD5"
"ENSG00000224336",0,0,0,0,0,0,0,0,0,0
"ENSG00000224337",0,0,0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0,0,0
"ENSG00000224339",0,0,0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,0,1,0,0
"ENSG00000224341",0,0,0,0,0,1,0,1,0,0
"ENSG00000224342",0,0,0,0,0,0,0,0,1,0
"ENSG00000224344",0,1,0,1,0,1,2,0,0,0
"ENSG00000224346",0,0,0,0,0,0,0,0,0,0
"ENSG00000224347",0,0,0,1,0,0,0,0,0,0
"ENSG00000224348",0,1,1,1,1,0,1,1,0,6
"ENSG00000224349",2,3,3,3,7,3,2,2,10,9
"ENSG00000224351",0,0,0,0,0,0,0,0,0,0
"ENSG00000224352",0,0,0,0,0,0,0,0,0,0
"ENSG00000224353",0,0,0,0,0,0,0,0,0,0
"ENSG00000224354",1,0,0,1,0,1,0,1,1,1
"ENSG00000224356",12.028,5,8,5,5,8,10,11,6.078,9
"ENSG00000224357",0,0,0,0,0,0,0,0,0,0
"ENSG00000224358",33.398,29.294,38.807,36.366,24.676,62.008,16.658,29.227,54.193,46.119
"ENSG00000224359",0,0,0,0,0,0,0,0,0,0
"ENSG00000224361",0,2,2,6,0,0,0,1,0,1
"ENSG00000224363",0,7.685,2.293,0,0,3.366,0,0,2.121,0
"ENSG00000224365",0,0,0,0,0,0,0,0,0,0
"ENSG00000224366",0,0,0,0,0,0,0,0,0,0
"ENSG00000224367",1,0,0,0,1,0,1,0,1,0
"ENSG00000224368",0,0,0,0,0,0,0,0,0,0
"ENSG00000224370",0,0,1.512,0,0,2,0,2,0,0
"ENSG00000224371",0,0,0,0,0,0,0,0,0,0
"ENSG00000224373",0,0,0,2,0,5,0,0,0,0
"ENSG00000224374",1,0,0,0,0,1,1,0,0,1
"ENSG00000224375",0,0,0,0,0,0,0,0,0,0
"ENSG00000224376",7,13,9,11,6,12,10,1,8,14
"ENSG00000224382",3,1,0,3,1,1,2,0,3,0
"ENSG00000224383",152.474,58.322,188.056,185.903,164.421,135.084,70.299,135.212,117.403,156.989
"ENSG00000224384",0,0,0,0,0,0,0,0,0,0
"ENSG00000224387",1,2,2,1,1,4,0,3,3,2
"ENSG00000224388",1,0,0,2,0,0,0,2,1,0
"ENSG00000224389",1015.937,271.367,412.716,511.211,74.913,1577.636,513.012,133.801,2137.84,125.345
"ENSG00000224391",0,0,0,0,0,0,0,0,0,1
"ENSG00000224394",0,0,0,0,0,0,0,0,0,0
"ENSG00000224396",0,0,0,0,0,0,0,1,2,0
"ENSG00000224397",104.872,22.731,22.911,75.899,7.558,22.359,38.769,31.251,38.369,44.073
"ENSG00000224400",0,0,0,0,0,0,0,0,0,0
"ENSG00000224401",0,1.004,0,1.002,0,1.005,2.006,0,1.002,0
"ENSG00000224403",0,0,0,0,0,0,0,0,0,0
"ENSG00000224404",0,0,0,0,0,0,0,0,0,0
"ENSG00000224405",0,0,0,0,0,0,0,0,0,0
"ENSG00000224406",0,0,0,1,0,0,0,0,0,2
"ENSG00000224407",28,9,8,18,5,20,23.071,14,17,14
"ENSG00000224408",0,0,0,0,0,0,0,0,0,0
"ENSG00000224409",3,0,1,2,2,1,1.069,1,3,3
"ENSG00000224410",0,0,0,0,0,0,0,0,0,0
"ENSG00000224411",10.546,18.583,23.589,18.789,9.17,17.062,37.661,12.062,26.428,56.156
"ENSG00000224412",0,1,0,0,0,1,0,0,0,0
"ENSG00000224413",15.204,8.793,8.341,24.624,2.052,23.936,11.213,16.027,16.303,24.224
"ENSG00000224414",9.196,8.21,3.612,7.12,4.023,8.044,8.004,7.482,24.086,9.058
"ENSG00000224415",14.04,10.024,16.034,20.045,14.031,5.24,15.01,12.031,10.019,28.083
"ENSG00000224416",0,0,0,0,0,0,0,0,0,0
"ENSG00000224417",0,0,0,0,1,0,1,1,0,0
"ENSG00000224418",4,9,7,6,1,6,0,2,4,3
"ENSG00000224419",0,0,0,0,0,0,0,0,0,0
"ENSG00000224420",61,50,39,37.365,14.182,26.271,50.7,31.23,30.23,44.646
"ENSG00000224421",0,0,0,1,0,0,0,0,0,0
"ENSG00000224424",129.78,104.602,130.929,183.936,106.993,172.947,47.581,113.756,190.294,133.31
"ENSG00000224425",2.016,0,0,2.01,3.649,1.129,2.813,4.013,6.054,0
"ENSG00000224426",0,0,0,0,0,1,0,0,0,0
"ENSG00000224427",1.001,1.001,0,1.001,0,2.001,1,0,0,1.001
"ENSG00000224429",54,21,41.001,38,7,46.001,30.001,31,42,44
"ENSG00000224430",7,4.008,4.007,2.001,6.006,1,4,4,3,6
"ENSG00000224431",9.067,7,8.125,9.074,3.066,6.046,5.013,10.041,11.833,13.114
"ENSG00000224435",0,0,0,0,0,0,0,0,0,0
"ENSG00000224436",0,0,0,0,0,0,0,0,0,0
"ENSG00000224437",0,0,0,0,0,0,0,0,0,0
"ENSG00000224438",0,0,0,0,0,0,0,0,0,0
"ENSG00000224439",0,0,0,0,0,0,0,0,0,1
"ENSG00000224440",0,0,0,0,0,0,0,0,0,0
"ENSG00000224441",11,4,9,11,6,3,0,2,8,2
"ENSG00000224442",3,5,7,5,3,6,6,6,6,12
"ENSG00000224443",0,0,0,0,0,0,0,1,0,0
"ENSG00000224445",0,0,0,0,0,0,0,0,0,0
"ENSG00000224447",0,0,0,0,0,0,0,0,0,0
"ENSG00000224448",1,0,0,0,0,0,0,0,0,0
"ENSG00000224451",0,0,0,0,0,0,2,1,0,1
"ENSG00000224452",1,0,0,0,0,1,0,0,2,0
"ENSG00000224458",4.003,0,3,3.002,0,1,4,4,2.001,4.006
"ENSG00000224459",1,1,1,0,0,1,0,2,0,1
"ENSG00000224460",3,2,2,1,1,1,1,3,6,1
"ENSG00000224462",0,0,0,0,0,0,0,1,0,0
"ENSG00000224463",0,0,0,0,0,1,0,0,0,0
"ENSG00000224464",1,0,2,1,0,1,0,1,0,1
"ENSG00000224465",0,0,0,0,0,0,0,0,0,0
"ENSG00000224466",0,0,0,1,0,0,0,0,0,0
"ENSG00000224467",0,0,0,1,0,0,0,0,0,0
"ENSG00000224468",0,1,0,0,0,0,0,0,2,0
"ENSG00000224469",0,1,1,1,0,0,0,0,0,0
"ENSG00000224470",1962.001,1350.999,1370,2014,1143,1988,1184,1595,1895,1744.68
"ENSG00000224471",0,0,0,0,0,0,0,0,0,0
"ENSG00000224473",1,1,0,0,0,0,0,0,2,0
"ENSG00000224475",0,0,0,1,0,0,2,0,0,0
"ENSG00000224476",0,0,0,0,0,0,0,0,0,0
"ENSG00000224477",8,8,4,27,8,28,9,10,13,14
"ENSG00000224478",1,0,1,2,0,0,0,3,0,0
"ENSG00000224479",23.455,17.001,42.001,33.33,22.003,28.021,7.156,18.977,27.983,32.685
"ENSG00000224481",4,0,2,4,0,5,0,2,2,0
"ENSG00000224482",0,0,0,0,0,0,0,0,0,0
"ENSG00000224484",0,0,0,0,0,0,0,0,0,0
"ENSG00000224485",0,0,0,0,0,0,0,0,0,0
"ENSG00000224488",0,0,0,0,0,0,0,0,0,0
"ENSG00000224490",1,0,1,0,1,1,0,1,2,1
"ENSG00000224493",0,0,0,0,0,0,0,0,0,0
"ENSG00000224494",0,0,0,0,0,0,1,0,0,1.001
"ENSG00000224497",2,0,1,1,0,0,0,0,0,1
"ENSG00000224498",0,0,0,0,0,0,0,0,0,0
"ENSG00000224500",0,0,0,1,0,0,0,0,0,0
"ENSG00000224504",0,0,0,0,0,0,0,0,0,0
"ENSG00000224505",39,9,20,28,11,25,13,26,30,26
"ENSG00000224506",5.05,1.012,2.77,2.516,2.104,3.81,3.213,0,7.363,7.682
"ENSG00000224509",12,6,12,33,12,17,4,11,24,21
"ENSG00000224510",0,0,0,0,0,1,0,0,0,0
"ENSG00000224511",0,0,2,1,0,0,0,3,1,0
"ENSG00000224513",2,0,1,0,1,0,0,1,0,0
"ENSG00000224514",5.002,5,7,9,6.001,16.01,2,12,11.008,10
"ENSG00000224515",0,0,0,0,1,0,0,0,1,0
"ENSG00000224516",0,0,0,0,0,0,0,0,1,0
"ENSG00000224517",0,0,0,0,0,0,0,0,0,0
"ENSG00000224518",0,0,0,0,0,0,0,0,0,0
"ENSG00000224519",0,0,0,0,0,0,0,0,0,0
"ENSG00000224520",0,0,0,0,0,0,1,0,0,0
"ENSG00000224521",1,3,0,1,0,0,0,1,1,0
"ENSG00000224523",1,0,0,2,0,1,0,0,0,1
"ENSG00000224524",0,0,0,0,0,0,0,0,0,0
"ENSG00000224525",11.711,3.272,17.988,5.432,3,20.087,8,2.57,5.602,6.037
"ENSG00000224529",0,0,0,0,0,0,0,0,0,0
"ENSG00000224530",0,0,0,0,0,1,0,0,0,1
"ENSG00000224531",2052,1481,1373,2328,1212,2561,984,1762,2327,2201
"ENSG00000224532",0,0,0,0,0,0,0,0,0,0
"ENSG00000224533",3.295,2.854,13,2.038,2.051,6,1.654,6.59,5.121,6.762
"ENSG00000224535",2,0,0,1,2,0,0,1,0,0
"ENSG00000224536",103,94,101,196.925,64,206,85,148,179,150
"ENSG00000224537",0,0,0,0,0,0,0,0,0,0
"ENSG00000224539",0,0,0,0,0,0,0,0,0,0
"ENSG00000224540",1.001,0,0,1,0,0,0,1.003,0,0
"ENSG00000224541",0,0,1,2,1,0,0,1,0,1
"ENSG00000224543",0,0,0,2.109,0,0,0,0,1.051,0
"ENSG00000224545",0,0,1,0,0,0,0,1,0,0
"ENSG00000224546",3.634,0,1.069,4.045,1.068,1.064,0,2.36,1.124,2.197
"ENSG00000224547",0,0,0,0,0,0,0,0,0,0
"ENSG00000224548",0,0,0,0,0,0,0,0,0,0
"ENSG00000224549",1,0,0,0,1,1,0,1,0,0
"ENSG00000224550",1.169,3.858,0,0,0,0,0,1.209,0,0
"ENSG00000224551",0,0,0,0,0,0,0,0,0,0
"ENSG00000224553",1,1,0,1.001,0,0,1.002,0,0,0
"ENSG00000224555",0,0,0,0,0,0,1.005,0,0,0
"ENSG00000224556",0,0,0,0,0,0,0,0,0,0
"ENSG00000224559",7.716,8.055,17.001,17.044,8.845,7.191,8.785,13.997,15.548,13.228
"ENSG00000224560",0,0,0,0,0,0,0,0,0,0
"ENSG00000224563",0,0,0,0,0,0,0,0,0,0
"ENSG00000224565",0,0,0,0,0,0,0,2,0,0
"ENSG00000224566",3,0,0,1.004,0,0,1,0,0,1
"ENSG00000224567",0,0,0,0,0,0,0,0,0,0
"ENSG00000224568",6.207,5.042,7.438,7.115,4.61,6.906,5.673,8.569,11.501,3.878
"ENSG00000224569",0,1,2,2,0,2,1,0,0,0
"ENSG00000224570",0,0,0,0,0,0,0,0,0,0
"ENSG00000224571",0,0,0,0,0,0,0,0,0,1
"ENSG00000224573",0,0,0,0,0,0,0,0,0,0
"ENSG00000224574",0,0,0,0,0,0,0,0,0,0
"ENSG00000224577",2,1,2,1,0,2,0,0,0,0
"ENSG00000224578",244.295,139.247,147.493,164.404,70.724,136.975,53.965,162.579,215.072,183.356
"ENSG00000224579",0,0,0,0,0,0,0,0,0,0
"ENSG00000224582",0,0,0,0,0,0,0,0,0,0
"ENSG00000224583",0,0,0,0,0,0,0,0,0,0
"ENSG00000224584",0,0,0,0,0,0,0,0,0,0
"ENSG00000224585",0,0,0,0,0,0,0,0,0,0
"ENSG00000224586",0,0,0,0,0,0,0,0,0,0
"ENSG00000224589",0,0,0,0,0,0,0,0,0,0
"ENSG00000224590",0,0,0,0,0,0,0,0,0,0
"ENSG00000224592",22.534,7.011,13.136,24.796,4.003,15.406,8.994,16.009,20.168,16.469
"ENSG00000224593",3,3,2,11,1,7,1,2,8,12
"ENSG00000224594",1,0,0,0,0,1,0,0,1,0
"ENSG00000224595",0,0,0,0,0,0,0,0,1,0
"ENSG00000224596",31,17,24,37,22.001,38,9,17,33,22
"ENSG00000224597",791,549,648,1030,541,809.002,712.001,745.001,928.998,937
"ENSG00000224598",0,0,0,0,0,0,0,0,0,1
"ENSG00000224599",0,0,0,0,0,0,0,0,0,0
"ENSG00000224600",0,1.001,0,0,0,0,1.001,0,1.001,0
"ENSG00000224602",0,0,0,0,0,0,0,0,0,0
"ENSG00000224603",0,0,0,0,0,0,0,0,0,0
"ENSG00000224604",0,0,2,1,0,0,0,0,0,0
"ENSG00000224605",0,0,0,0,0,0,0,0,0,0
"ENSG00000224606",0,0,0,0,0,0,0,0,1,0
"ENSG00000224607",0,0,0,0,0,0,0,0,0,0
"ENSG00000224609",0,0,1,2,1,2,1,0,1,1
"ENSG00000224610",0,0,0,0,0,0,0,0,0,0
"ENSG00000224611",0,0,0,0,0,0,0,0,0,0
"ENSG00000224612",0,0,0,0,0,0,0,0,0,0
"ENSG00000224613",11,2,1,6,6,3,2,2,3,1
"ENSG00000224614",5,8,10,16,7,9.007,6,9,7,5
"ENSG00000224616",38,23,54,41,29,85,27,45,52,43
"ENSG00000224617",0,0,0,0,0,0,0,0,0,0
"ENSG00000224618",0,0,0,0,0,0,0,0,0,0
"ENSG00000224620",0,0,0,0,0,0,0,0,0,0
"ENSG00000224621",2,0,0,1,3,2,0,2,3,0
"ENSG00000224622",0,0,0,0,0,0,0,0,0,0
"ENSG00000224625",0,0,0,0,0,0,1,0,0,0
"ENSG00000224626",0,0,0,0,0,0,0,0,0,0
"ENSG00000224627",0,0,0,0,0,0,0,0,0,0
"ENSG00000224628",0,1.008,1.008,1.005,0,0,0,0,0,1.007
"ENSG00000224629",2,0,0,0,0,0,0,0,0,0
"ENSG00000224630",0,0,0,0,0,0,0,0,0,0
"ENSG00000224631",15.426,4.48,2.932,5.105,5.304,8.844,2.873,9.266,22.78,13.19
"ENSG00000224632",0,0,0,0,0,1,0,0,0,0
"ENSG00000224634",0,0,0,0,0,0,0,0,0,0
"ENSG00000224635",20,10,10.363,12.052,9,14.897,7.996,11,23,10.215
"ENSG00000224637",0,0,0,0,1,0,0,0,0,0
"ENSG00000224638",0,0,0,0,0,0,0,0,0,0
"ENSG00000224640",0,0,0,0,0,0,0,0,0,0
"ENSG00000224643",0,0,0,0,0,0,0,0,0,0
"ENSG00000224644",0,0,0,0,0,0,0,0,0,2
"ENSG00000224645",1,0,2,4,1,1,0,4,0,1
"ENSG00000224646",0,0,0,1.024,0,0,0,1.04,0,0
"ENSG00000224647",1,0,1,0,0,1,1,0,2,0
"ENSG00000224648",0,0,0,0,0,0,0,0,0,0
"ENSG00000224649",0,0,0,0,0,0,0,0,0,0
"ENSG00000224650",0,0,0,0,0,0,1,1,0,0
"ENSG00000224652",0,0,0,0,0,1,0,0,0,0
"ENSG00000224653",0,0,0,0,0,0,0,0,1,0
"ENSG00000224655",2,0,1,1,1,0,0,1,0,0
"ENSG00000224656",0,0,0,0,0,0,0,0,0,0
"ENSG00000224657",0,0,0,1,0,0,0,0,0,0
"ENSG00000224658",0,0,0,0,0,0,0,0,0,0
"ENSG00000224659",0,0,0,0,0,0,0,0,0,0
"ENSG00000224660",532.999,229,422.09,485.138,242.144,434,194,295.17,516.073,430.169
"ENSG00000224661",2,1,3,2,1,0,1,4,1,0
"ENSG00000224662",0,0,0,0,0,0,0,0,0,0
"ENSG00000224664",0,0,0,0,0,0,1,0,1,2
"ENSG00000224666",0,0,0,2,0,0,0,0,0,1
"ENSG00000224667",0,0,0,0,0,0,0,0,0,0
"ENSG00000224668",2.026,2.035,4.615,3.056,4.049,2.031,5.09,7.129,2.03,3.042
"ENSG00000224669",0,0,0,0,0,0,0,0,0,1.013
"ENSG00000224670",0,0,0,0,0,0,0,0,0,0
"ENSG00000224671",0,0,0,0,0,0,0,0,0,0
"ENSG00000224672",2,3,3,3,2,4,1,2,4,3
"ENSG00000224674",4.042,0,0,4.732,0,5.176,0,2.096,6.509,7.321
"ENSG00000224675",32.224,14.571,32.771,61.092,23.353,36.888,15.885,23.536,37.891,30.419
"ENSG00000224677",0,0,0,0,0,1.019,0,0,0,0
"ENSG00000224678",2,1,1,0,0,1,0,0,0,0
"ENSG00000224679",0,0,0,0,0,0,0,0,0,0
"ENSG00000224680",3.334,0,0,8.731,4.31,2.176,1.01,1.041,4.272,7.921
"ENSG00000224681",0,0,0,0,0,0,0,0,0,0
"ENSG00000224682",0,0,0,0,0,1,0,0,1,0
"ENSG00000224683",0,0,0,0,0,0,1,0,0,0
"ENSG00000224685",0,0,0,1,0,0,0,0,0,0
"ENSG00000224686",0,0,0,0,0,0,0,0,1,0
"ENSG00000224687",51.65,37.697,49.653,77.04,35.57,47.478,25.406,44.467,47.846,48.708
"ENSG00000224688",0,0,0,0,0,0,0,0,0,0
"ENSG00000224689",29.451,20.177,31.388,46.999,15.13,38.903,13.259,29.818,17.32,52.066
"ENSG00000224690",0,0,1,0,0,0,0,0,0,0
"ENSG00000224691",8.87,7.773,8.236,13.144,3.366,11.243,9.158,17.385,13.511,21.408
"ENSG00000224692",0,0,0,0,0,0,0,0,0,0
"ENSG00000224695",0,0,0,0,0,0,0,0,0,0
"ENSG00000224697",1,2.001,1,3.002,1,0,1,0,0,2
"ENSG00000224699",82.528,56.342,100.139,117.857,55.868,103.37,45.862,89.201,111.422,111.645
"ENSG00000224700",0,0,0,0,0,0,0,1,0,0
"ENSG00000224701",0,0,0,0,0,0,0,0,0,0
"ENSG00000224702",0,0,0,0,0,0,0,0,0,0
"ENSG00000224706",0,0,0,0,0,0,0,0,0,0
"ENSG00000224707",0,0,0,0,0,2,0,0,0,0
"ENSG00000224709",0,0,0,0,0,0,0,0,0,0
"ENSG00000224710",0,0,0,0,0,0,0,0,0,0
"ENSG00000224711",0,0,0,0,0,1,0,0,0,0
"ENSG00000224712",28.116,19.654,115.995,112.243,51.478,59.886,53.006,43.943,106.37,149.797
"ENSG00000224713",7,8,3,3,3.004,5,4,5,3,4
"ENSG00000224714",10.272,6.198,9.227,8.116,0,4.385,6.785,6.69,7.684,9.742
"ENSG00000224715",4,3,2,1,2.897,3.788,1,3.028,3.999,4
"ENSG00000224717",31.511,15.719,40.363,46.399,29.577,30.202,27.591,24.48,33.739,46.162
"ENSG00000224718",0,0,0,0,0,0,0,0,0,0
"ENSG00000224719",0,0,0,0,0,0,0,0,0,0
"ENSG00000224721",4,2,3,6,2,0,1,1,0,1
"ENSG00000224722",0,1.084,0,0,0,0,0,1.082,0,0
"ENSG00000224723",4,2,3,1,3,0,1,1,1,0
"ENSG00000224725",0,0,0,0,0,0,0,0,0,0
"ENSG00000224727",2,4.07,0,1.002,2,0,0,0,0,0
"ENSG00000224728",8.012,2,10,12,5.03,11,6,1,8,7
"ENSG00000224729",7,4,7,7,8,9,5,3,15,6
"ENSG00000224730",1,1,3,1,0,0,1,1,1,0
"ENSG00000224731",0,0,0,0,0,0,0,1,2,1
"ENSG00000224732",0,0,0,0,0,0,0,0,0,0
"ENSG00000224733",3.067,1.023,2.196,1.039,2,0,0,0,4.081,2.41
"ENSG00000224735",0,0,0,0,0,0,0,0,0,0
"ENSG00000224738",46.11,25.964,44.273,36.594,38.478,45.817,25.214,41.107,37.198,37.367
"ENSG00000224739",6,3,6,6,5,9,1,4,7,4
"ENSG00000224743",23.762,16.07,24.454,27.648,5.519,14.924,12.089,13.278,24.635,26.413
"ENSG00000224746",1,0,1.068,1,0,1,0,2,1,1.004
"ENSG00000224747",1,0,0,0,0,0,0,0,1,1
"ENSG00000224750",2,0,0,1,0,0,0,0,0,0
"ENSG00000224751",0,0,0,0,0,0,0,0,0,0
"ENSG00000224752",0,0,0,0,0,0,0,0,0,1
"ENSG00000224755",0,0,0,0,0,0,0,0,0,0
"ENSG00000224758",1,1,4,1,0,0,1,1,2,4
"ENSG00000224760",0,0,0,0,0,0,0,0,0,0
"ENSG00000224761",4,1,1,1,2,1,1,0,0,1
"ENSG00000224762",0,0,0,0,0,1,0,0,0,0
"ENSG00000224763",0,0,0,1,0,0,0,0,0,0
"ENSG00000224764",9,6,3,10,1,5,4,4,5,8
"ENSG00000224765",0,0,3,1,0,4,2,0,3,0
"ENSG00000224769",36.055,8.788,45.945,2.821,24.471,34.035,21.948,0,1.24,33.381
"ENSG00000224771",1,0,0,0,0,0,0,0,0,0
"ENSG00000224773",2.002,1,1,2.02,1.001,1.001,0,0,2.001,1.001
"ENSG00000224775",4.024,2,0,3.008,0,1.003,0,0,3.029,0
"ENSG00000224776",1,0,0,0,0,0,0,1,0,1
"ENSG00000224777",0,0,0,0,0,0,0,0,0,0
"ENSG00000224778",0,0,0,0,0,0,0,0,0,0
"ENSG00000224781",1.03,2.006,0,1.002,0,1.002,0,1.004,0,1.002
"ENSG00000224783",0,0,0,0,0,0,0,0,0,0
"ENSG00000224784",0,0,0,0,0,0,0,0,0,0
"ENSG00000224785",0,0,0,0,0,0,0,0,0,0
"ENSG00000224786",25,15,13,20,8,19,1,23,33,17
"ENSG00000224788",0,0,0,0,0,0,0,0,0,0
"ENSG00000224789",4,1,2,1,3,1,0,3,3,0
"ENSG00000224790",34.38,19.577,30.353,36.679,17.125,28.363,25.283,21.094,25.475,41.137
"ENSG00000224791",0,0,0,0,0,0,0,0,0,0
"ENSG00000224792",0,0,0,0,1,1,0,0,2,1
"ENSG00000224794",4.164,3.301,6.198,5.295,2.633,2.201,7.836,6.861,11.629,7.007
"ENSG00000224795",233,250,205,373,155,405,208,215,356,310
"ENSG00000224796",3,0,2,2,3,4,1,7,3.003,1
"ENSG00000224797",0,0,0,0,0,0,0,0,0,0
"ENSG00000224799",4.963,5.031,26.76,6.284,7.364,7.434,30.458,1.903,24.31,45.641
"ENSG00000224800",2.001,0,0,2.001,1.001,1,1,0,2,0
"ENSG00000224802",0,0,0,1,0,1,0,1,0,0
"ENSG00000224805",8,6,9,17,1,9,2,6,4,4
"ENSG00000224806",0,0,0,0,0,0,0,1.024,0,0
"ENSG00000224807",0,0,0,0,0,0,0,0,0,0
"ENSG00000224808",0,0,0,0,0,0,0,0,1,0
"ENSG00000224809",0,0,0,2,1,0,0,0,1,0
"ENSG00000224810",132.865,98.501,105.566,165.561,87.649,130.545,59.376,125.552,154.057,173.909
"ENSG00000224812",33.001,21,34,49,25,44,13,16,38,30
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0
"ENSG00000224814",1,1,2,2,0,0,1.13,1,1,2
"ENSG00000224815",0,0,0,0,0,1,0,0,0,0
"ENSG00000224816",0,0,0,0,0,0,0,0,1,0
"ENSG00000224817",0,0,0,0,0,2,0,0,0,0
"ENSG00000224818",0,0,0,0,0,0,2.372,0,0,0
"ENSG00000224819",0,0,0,0,0,0,0,0,0,0
"ENSG00000224820",1.001,0,0,0,0,0,0,0,0,0
"ENSG00000224821",0,1,0,1,0,0,0,0,0,0
"ENSG00000224822",11.372,20.114,25.091,20.292,6.841,20.018,14.996,17.575,26.526,28.95
"ENSG00000224825",5.993,9.847,6.226,5.783,6.89,9.873,3.382,6.549,11.348,13.126
"ENSG00000224826",4.648,3.386,7.06,12.929,3.808,5.955,9.865,11.267,5.765,26.603
"ENSG00000224827",0,0,0,1.003,3.025,1.005,3.288,0,0,1.305
"ENSG00000224829",0,0,0,0,0,0,0,0,0,0
"ENSG00000224830",0,0,0,0,0,1,0,0,0,0
"ENSG00000224831",0,0,0,0,0,2.441,0,0,2.181,0
"ENSG00000224832",0,0,0,0,0,0,0,0,0,0
"ENSG00000224834",0,0,0,0,0,0,0,1.005,0,1.353
"ENSG00000224836",0,0,0,0,0,0,0,0,0,0
"ENSG00000224837",308.524,340.059,291.191,392.034,197.611,417.162,155.053,373.425,421.394,285.615
"ENSG00000224839",1.005,0,0,0,0,0,0,0,0,0
"ENSG00000224842",4.231,6.629,3.321,5,2.531,1,3.393,4.987,3.189,2.006
"ENSG00000224843",34.992,25.409,35.53,56.855,25.944,34.673,7,28.751,53.692,42.651
"ENSG00000224844",0,0,0,0,0,0,0,0,0,1
"ENSG00000224846",4,1,0,2,5,12,0,1,0,2
"ENSG00000224848",36,25,26,48,16,38,25,20,34,34
"ENSG00000224850",0,0,0,0,0,0,0,0,0,0
"ENSG00000224851",0,0,0,0,0,0,0,0,0,0
"ENSG00000224852",0,0,0,0,0,0,0,0,0,0
"ENSG00000224853",0,0,0,0,0,0,0,0,0,0
"ENSG00000224854",0,0,0,0,0,0,0,1,0,0
"ENSG00000224855",0,0,0,0,0,1,0,0,0,1
"ENSG00000224856",1,0,0,0,0,0,0,0,0,1
"ENSG00000224857",0,0,0,0,0,0,0,0,0,0
"ENSG00000224858",3.685,1.153,0,5.441,0,3.714,1.291,0,4.2,2.415
"ENSG00000224860",0,0,0,0,0,0,0,0,0,0
"ENSG00000224861",2.711,1.291,4.773,2.978,2.741,0,1.3,1.389,0,3.961
"ENSG00000224863",2,0,2,1,2,5,0,0,2,2
"ENSG00000224864",0,5.088,6.675,0,2.021,8.955,0,0,4.766,0
"ENSG00000224865",0,0.98,0,0,0,0,2,0,0,0
"ENSG00000224866",0,0,1,1,0,0,0,0,0,0
"ENSG00000224869",0,0,0,0,0,0,0,0,0,0
"ENSG00000224870",601.121,526.999,547.001,951,451.999,717.001,451.999,574.001,686,537.001
"ENSG00000224875",7.009,6,4.001,5.053,3.025,6.26,3.019,3.273,12.085,4
"ENSG00000224876",0,0,0,0,0,0,0,0,0,0
"ENSG00000224877",592,307,445,633,242.999,499,439,321,476,529
"ENSG00000224879",0,0,0,0,0,0,0,0,0,0
"ENSG00000224880",2,0,1,0,1,3,1,1,0,0
"ENSG00000224881",16.306,8.262,11.352,54.19,27.994,35.119,5.59,12.176,19.438,34.023
"ENSG00000224883",1,0,0,0,0,1,0,1,1,0
"ENSG00000224884",17.985,7.409,14.14,15.641,9.866,11.332,11.996,9.99,9.192,13.137
"ENSG00000224885",3,0,1,4,3,3,0,2,4,3
"ENSG00000224886",33,24,30,35,21,36,22,29,33,32
"ENSG00000224887",0,0,0,0,0,0,0,0,0,0
"ENSG00000224888",21,16,23,21,8,25,4,25,11,5.007
"ENSG00000224891",0,0,1,0,0,0,0,0,0,1.006
"ENSG00000224892",20.021,6.008,22.102,18.412,14.035,30.13,24.483,15.019,14.038,25.641
"ENSG00000224893",0,0,0,0,0,0,0,0,0,0
"ENSG00000224895",1,0,0,0,0,0,0,1,0,0
"ENSG00000224896",0,0,0,0,0,0,0,0,0,0
"ENSG00000224897",147.759,128.949,102.5,162.172,94.172,163.75,57.262,136.843,180.74,182.145
"ENSG00000224899",0,0,1,1,1,0,0,0,0,0
"ENSG00000224901",0,0,0,0,0,0,0,0,0,0
"ENSG00000224902",0,0,0,0,0,0,0,0,0,0
"ENSG00000224903",3,2,2,7,3,7,3,5,4,5
"ENSG00000224904",0,0,1,1,0,0,0,0,0,0
"ENSG00000224905",18.65,9.087,12.215,10.25,7.354,8.197,7,12.252,19.571,13.164
"ENSG00000224906",0,0,0,0,0,1,1,0,1,0
"ENSG00000224907",0,1,0,0,0,0,0,0,0,0
"ENSG00000224908",0,0,0,0,0,0,0,0,0,0
"ENSG00000224910",0,0,0,1,0,1,0,0,0,0
"ENSG00000224911",100,44,57.879,100,54,57,54,27,85,56
"ENSG00000224914",358.856,200.42,329.786,358.232,236.852,416.579,77.639,278.115,265.721,159.866
"ENSG00000224916",532.507,172.955,147.159,376.18,134.642,352.597,309.59,336.261,273.157,174.928
"ENSG00000224917",0,0,0,0,1,0,0,0,2,0
"ENSG00000224918",0,1,0,0,0,0,0,0,0,0
"ENSG00000224919",0,0,0,0,0,0,0,0,0,0
"ENSG00000224920",1,0,0,0,0,0,0,2,0,2
"ENSG00000224924",816.001,815,803.001,987.999,444.001,1488,835,913.001,1402,2008
"ENSG00000224927",2,0,1,7,1,1,1,1,2,2
"ENSG00000224928",3.131,1.124,2,4.17,3,7,1.824,3.629,4,5.961
